site	sam1	sam2	sam3	sam4	sam5	sam6	sam7	sam8	sam9	sam10
1	40	40	73	33	67	60	0	100	20	67
2	40	40	73	33	67	60	0	100	20	67
3	40	40	73	33	67	60	0	100	20	67
4	40	40	73	33	67	60	0	100	20	67
5	40	40	73	33	67	60	0	100	20	67
6	40	40	73	33	67	60	0	100	20	67
7	40	40	73	33	67	60	0	100	20	67
8	33	27	87	40	-	-	6	94	26	-
9	33	27	87	40	-	-	6	94	26	-
10	33	27	87	40	-	-	6	94	26	-
11	33	27	87	40	-	-	6	94	26	-
12	33	27	87	40	-	-	6	94	26	-
13	33	27	87	40	-	-	6	94	26	-
14	33	27	87	40	-	-	6	94	26	-
